id,yelp_id,name,rating,price,review_count
1,kiraku-berkeley,Kiraku,4.5,2,626
2,the-snack-shack-berkeley,The Snack Shack,4.5,1,67
3,wood-tavern-oakland,Wood Tavern,4.5,3,1599
4,koja-kitchen-berkeley,KoJa Kitchen,4,1,410
5,angelines-louisiana-kitchen-berkeley,Angeline's Louisiana Kitchen,4,2,3342
6,royal-rangoon-berkeley-2,Royal Rangoon,4,2,448
7,gather-berkeley,Gather,4,2,1856
8,eureka-berkeley-3,Eureka!,4,2,1009
9,simply-bowl-berkeley,Simply Bowl,4,2,392
10,southie-oakland,Southie,4.5,2,605
11,brazil-fresh-squeeze-cafe-berkeley,Brazil Fresh Squeeze Cafe,4.5,1,1120
12,gypsys-trattoria-italiano-berkeley,Gypsy's Trattoria Italiano,4,1,1202
13,tigerlily-berkeley-berkeley,Tigerlily Berkeley,4,2,298
14,smokes-poutinerie-berkeley,Smoke's Poutinerie,4,1,556
15,toss-noodle-bar-berkeley,Toss Noodle Bar,4,1,593
16,tivoli-caffe-berkeley,Tivoli Caffe,4.5,1,187
17,the-station-berkeley,The Station,4,1,162
18,great-china-berkeley,Great China,4,2,1493
19,sushinista-berkeley,Sushinista,4,1,58
20,cheese-board-pizza-berkeley,Cheese Board Pizza,4.5,1,4464
21,chengdu-style-restaurant-berkeley,Chengdu Style Restaurant,,,
22,famous-bao-berkeley,Famous Bao,,,
23,gypsys-trattoria-italiano-berkeley,Gypsy,,,
24,house-of-curries-berkeley-2,House of Curries,,,
25,equator-coffees-and-teas-berkeley,Equator Coffees & Teas,,,
26,sharetea-berkeley,Sharetea,,,
27,ucafe-berkeley,UCafe,,,
28,tea-press-berkeley-2,Tea Press,,,
29,cafe-milano-berkeley,Cafe Milano,,,
30,sacks-coffee-house-berkeley,Sack,,,
31,caffe-mediterraneum-berkeley,Caffe Mediterraneum,,,
32,le-bateau-ivre-berkeley,Le Bateau Ivre,,,
33,sweetheart-cafe-berkeley,Sweetheart Cafe,,,
34,cafe-durant-berkeley,Cafe Durant,,,
